,sku_id,variant_code,image_url,description,item_category,class_code,department_code,color,season,quantity,price,url
10,19587164,CK00196GREY,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/CK00196GREY_1.jpg?v=1693462627,,Women's Kurta,"CK00196, Core Kurta, Cotton, Ethnic Wear, Grey, Hand Wash, Kurta, Printed, SS23, Straight Fit, Three-Fourth Sleeve, Topwear, Women's, Woven",LADIES ETHNIC TOPWEAR,Grey,kg,1700.0,232.77777777777777,straight-fit-printed-kurta-ck00196
11,18293253,LCPY00003BLACK,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546673847_4.jpg?v=1676044407,,LADIES WEAR,LADIES SLEEPWEAR,LADIES SLEEP BOTTOM,BLACK,SS23,1231.0,509.0,womens-black-cotton-printed-pyjama-lcpy00003black
12,19539326,EK00141LIMEGREEN,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/EK00141LIMEGREEN_1.jpg?v=1691658560,,LADIES WEAR,LADIES ETHNICWEAR,LADIES ETHNIC TOPWEAR,LIME GREEN,SS23,510.0,834.0,STYLE UNION
13,18725944,TBS00012KHAKI,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/TBS00012KHAKI_1.jpg?v=1684336452,Tween Boy's Khaki Cotton Solid Short,KIDS WEAR,TWEENS BOYS WEAR,TW BOYS LEGWEAR,KHAKI,SS23,552.0,699.0,STYLE UNION
14,21218925,SP00001BEIGE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/SP00001BEIGE_4.jpg?v=1693426000,,LADIES WEAR,LADIES ACCESSORIES,LADIES INNER WEAR,Beige,AW22,1264.0,164.5,regular-fit-solid-slip-sp00001
15,18531849,MK00161PASTELLIME,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MK00161PASTELLIME_1.jpg?v=1693519439,Women's Pastel Lime Viscose Embroiderd Kurta,Women's Kurta,"15/03/23, Calf Length, Casual, Embroiderd, Ethnicwear, Flare Fit, Hand Wash, Kurta, Light Yellow, Mnm Kurta, Pastel Lime, Round Neck, SK, SS23, SS23_Lot1, Style Union, SU_SS23_LOT_1_266, Three-Fourth, Topwear, Viscose (100% Viscose), Women's, Women's Kurt",,Pastel Lime,kg,706.0,377.6666666666667,flare-fit-embroidered-kurta-mk00161
16,18903059,MFT00020MOONLESSNIGHT,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MFT00020MOONLESSNIGHT_1.jpg?v=1687524466,Men's Black Poly Cotton Solid Jogger,MENS WEAR,MENS LEGWEAR,MENS SPORTS LEGWEAR,Black,SS23,543.0,732.3333333333334,mens-black-poly-cotton-solid-jogger-mft00020moonlessnight
17,18472574,MSFT00005CHARCOAL,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MSFT00005CHARCOAL_4.jpg?v=1678971031,Men's Charcoal Polyester Jacquard T-Shirt,MENS WEAR,MENS T-SHIRTS,MENS SPORTS T-SHIRTS,Black,SS23,2193.0,312.6363636363636,mens-charcoal-polyester-jacquard-t-shirt-msft00005charcoal
18,17963740,JGGT 410SUNSHINE YELLOW,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546363960_1.jpg?v=1693492904,,Girl's T-Shirts,"1 to 6Yrs, 17/06/22, Cap Sleeve, Fashion, GIRL, Girl's, Graphic, Graphics, JGGT 410, JGGT410SUNSHINEYELLOW, Jr Girls Tees S, Kids Graphic tees, Knits, Lot 7, Machine Wash, MS, Regular Fit, Round Neck, SS22, Sunshine Yellow, T-Shirt, Tees, Topwear",,Sunshine Yellow,kg,613.0,79.6,girls-regular-fit-graphic-t-shirt-jggt410
19,16345957,PR02NAVY,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546418875_5.jpg?v=1658817810,,MENS WEAR,MENS SHIRTS,MENS CASUAL SHIRTS,NAVY,SS22,1250.0,781.1729914766444,style-union-mens-navy-cotton-printed-shirt-pr02navy-navy
20,17950378,3287ABLACK,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546552944_5.jpg?v=1663055005,Women's Black Polyester Solid Jeggings,Women's Jeggings,"12/09/22, 26, 38"", AW22, Black, Bottomwear, Core, Jeggings, Knit, Ladies Jeggings, Machine Wash, Mid Rise, MS, Polyester, Regular, Slim Fit, Solid, Style Union, Westernwear, WOMEN, Women's, Women's Jeggings",,Black,kg,1706.0,1010.6666666666666,womens-black-polyester-solid-jeggings-3287ablack-black
21,17625370,KTSH11ICEBLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546512764_4.jpg?v=1676043739,Women's Ice Blue Cotton Printed Shorts,LADIES WEAR,LADIES SLEEPWEAR,LADIES SLEEP BOTTOM,ICE BLUE,SS23,1458.0,337.3333333333333,STYLE UNION
22,18187314,DNMG19-JORANGE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/DNMG19-JORANGE_1.jpg?v=1693459830,,Girl's Jeans,"13/01/23, AD, AW22, Cotton, denim_jeans, Girl's Jeans, Jeans, Junior Girl's, Lot 9, Orange, Solid, Style Union, Woven",,Orange,kg,297.0,165.33641814072223,girls-regular-fit-solid-mid-rise-jean-dnmg19-j
23,19608404,TGBO00049ORCHID,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/TGBO00049ORCHID_1.jpg?v=1688650369,Tween Girl's Orchid Cotton Spandex Solid Joggers,KIDS WEAR,TWEENS GIRLS WEAR,TW GIRLS LEGWEAR,ORCHID,AW23,284.0,699.0,STYLE UNION
24,17286309,TDUTCH1APINK,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546509573_1.jpg?v=1660035905,,KIDS WEAR,TWEENS GIRLS WEAR,TW GIRLS T-SHIRTS,Pink,AW22,548.0,399.0,girls-pink-cotton-blend-solid-t-shirt-tdutch1apink
25,16452875,KNT 106 ABLACK,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546404557_5.jpg?v=1658817989,Black Polyester Solid Shorts,MENS WEAR,MENS SHORTS,MENS CASUAL SHORTS,BLACK,SS22,305.0,599.0,STYLE UNION
26,21876226,3136CREAM,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546589841_1_25f8b2c6-774b-43fb-ad73-64e06e5a2c39.jpg?v=1693321938,,Women's Top,"3136, Animal Print, AW22, AW_Lot_1, Casual Wear, Cream, Hand Wash, Kelsey Crepe, Ladies Tops, Regular, Regular Fit, revamp, Top, Topwear, V-Neck, Women's, Woven",,Cream,kg,1541.0,226.70833333333334,regular-fit-animal-print-top-3136
27,17624022,KTP120BBLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/KTP120BBLUE_1.jpg?v=1670238791,Tween Boy's Blue Cotton Tie - Dye Track Pants,KIDS WEAR,TWEENS BOYS WEAR,TW BOYS LEGWEAR,BLUE,AW22,393.0,799.0,tween-boys-blue-cotton-tie-dye-track-pants-ktp120bblue
28,17962409,5609OFFWHITE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546375512_2.jpg?v=1693485006,,Women's Tops,"332Styles, AD, Back To Work, Comfort Fit, Cotton, Embroidered, Embroidery, Holiday Shop, Off White, Scoop Neck, Short Dress, Three-Fourth, VA, Vacay Ready, Vacay Ready Styles, WOMEN, Women's, Women's Tops, XMAS, XXL",,Off White,kg,1118.0,301.4508514045739,comfort-fit-embroidered-top-5609
29,18295204,LWSS00025BLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546656147_4.jpg?v=1676038421,Women's Blue Cotton Graphic Sweat Shirt,LADIES WEAR,LADIES WESTERNWEAR,LADIES SEASONAL,BLUE,SS23,493.0,599.0,womens-blue-cotton-graphic-sweat-shirt-lwss00025blue
30,17621211,FRK2252JYELLOW,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/FRK2252JYELLOW_1.jpg?v=1670236353,,KIDS WEAR,JUNIOR GIRLS WEAR,JR GIRLS DRESSES,Yellow,220.00,709.0,499.0,junior-girls-yellow-cotton-solid-frock-frk2252jyellow
31,18723259,EK00110YELLOW,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/EK00110yellow_1_5159af28-6e9e-4ffc-a893-c17cebaaa8b9.jpg?v=1683904093,Women's Yellow Viscose Printed Kurta,Women's Kurta,"Essential Kurta, Ethnic Wear, Hand Wash, Kurta, Printed, SS23, Straight Fit, Topwear, Viscose, Women's, Woven, yellow-kurta-for-women",LADIES ETHNIC TOPWEAR,Yellow,kg,639.0,609.0,womens-yellow-viscose-printed-kurta-ek00110yellow
32,18556620,JBFTS00119BLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/JBFTS00119BLUE_1_3f0401eb-0325-4974-9eff-c9c2599a148d.jpg?v=1683907124,Junior Boy's Cotton Printed T-Shirt,KIDS WEAR,JUNIOR BOYS WEAR,JR BOYS T-SHIRTS,Blue,SS23,714.0,299.0,junior-boys-cotton-printed-t-shirt-jbfts00119blue
33,19522531,MSS00021DEEPTEAL,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MSS00021DEEPTEAL_1.jpg?v=1686056811,Men's Blue Poly Cotton Solid T-Shirt,Men's T-Shirt,"19% Polyester, 5% Spandex), Knit, Machine Wash, Men's, Mens Sweat Tees, MODERN PREP VARSITY, Polyester Cotton (76% Cotton, Regular Fit, Solid, SS23, T-Shirt, Topwear, Winter wear",MENS T-SHIRT,Blue,kg,734.0,732.3333333333334,mens-blue-poly-cotton-solid-t-shirt-mss00021deepteal
34,17964872,5551CFUCHSIA,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546329324_5.jpg?v=1658817707,Women's Fuchsia Cotton Solid Pant,Women's Pants,"30/06/22, Bottomwear, Essential Pant, Ethnic, Ethnicity Limited, Fuchsia, Lot 8, MS, Pant, Solid, SS22, Straight, Style Union, Women, Women's, Woven",,Pink,kg,2.0,699.0,style-union-womens-fuchsia-cotton-solid-pant-5551cfuchsia-fuchsia
35,16561177,SN09ROYALBLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546360808_5.jpg?v=1658818055,,LADIES WEAR,LADIES SLEEPWEAR,LADIES SLEEP TOPWEAR,Blue,330.87,89.0,694.5056179775281,style-union-royal-blue-cotton-knit-printed-gowns-sn09royalblue-royal-blue
36,18722506,MMK00007MAGENTA,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MMK00007MAGENTA_1_30e098ca-6946-4ca1-b8fe-f091d6c2b23d.jpg?v=1683921023,Men's Maroon Rayon Flex Abstract Short Kurta,MENS WEAR,MEN ETHNICWEAR,MENS ETHNIC TOPWEAR,MAGENTA,SS23,737.0,699.0,mens-maroon-rayon-flex-abstract-short-kurta-mmk00007magenta
37,17969342,2110ARUST,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546458789_5.jpg?v=1693497384,,Women's Palazzo,"2110A, 26/05/22, 38"", Bottomwear, Fashion, Ladies Palazzo, Lot 6, Maroon, MS, Non Wash, Palazzo, Pallazzo, Regular Fit, Solid, SS22, Style Union, Viscose Twill, WOMEN, Women's, Woven",,Rust,kg,330.0,143.27422640324778,regular-fit-solid-mid-rise-palazzo-2110a
38,18112985,00A2NAVY /YELLOW,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546424470_1.jpg?v=1693478805,,Men's Cap,"Accessories, Core, Lot 5, Men's, Mens Acc, Mens Cap, MS, Navy /Yellow, No, Solid, Topwear",,Navy & Yellow,kg,502.0,283.75577557755776,solid-navy-yellow-cap-00a2
39,19551613,MFJ00029DARKDENIM,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MFJ00029DARKDENIM_1.jpg?v=1687526288,Men's Blue Poly Cotton Solid Jean,Men's Jean,"Bottomwear, Casual Wear, Jean, Machine Wash, Men's, Mens Fashion Jeans, Mid Rise, Poly Cotton, Solid, SS23, Straight Fit, Woven",MENS JEANS,Blue,kg,149.0,1756.142857142857,mens-blue-poly-cotton-solid-jean-mfj00029darkdenim
40,17616827,6001ATWILIGHTMAUVE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/6001ATWILIGHTMAUVE_1.jpg?v=1664356156,"Women's Blue Poly Blend Swiss Dot
 Solid Kurta",Women's Kurta,"28/09/22, AD, AW22, Band Neck, Blue, Ethnicwear, Lot 2, Poly Blend Swiss Dot, Solid, Style Union, Three-Fourth, WOMEN, Women's",LADIES ETHNIC TOPWEAR,Blue,kg,388.0,934.0,womens-blue-poly-blend-swiss-dot-solid-kurta-6001atwilightmauve
41,18554975,MFFT00018FORESTNIGHT,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546687165_4.jpg?v=1676265193,Men's Black Cotton Solid T-Shirt,MENS WEAR,MENS T-SHIRTS,MENS T-SHIRT,FOREST NIGHT,SS23,936.0,615.6666666666666,mens-black-cotton-solid-t-shirt-mfft00018forestnight
42,19012302,LETE00108DUSTYPINK,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/LETE00108DUSTYPINK_1.jpg?v=1686549738,Women's Dusty Pink Cotton Solid T-Shirt,LADIES WEAR,LADIES WESTERNWEAR,LADIES T-SHIRTS,DUSTY PINK,SS23,1921.0,203.3558282208589,STYLE UNION
43,21207247,KTP331GREYMELANGE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546587861_4.jpg?v=1693455537,,LADIES WEAR,LADIES SLEEPWEAR,LADIES SLEEP TOPWEAR,Grey Melange,AW22,1426.0,160.9090909090909,regular-fit-printed-top-ktp331
44,17964099,JO01NAVY,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546366664_5.jpg?v=1658818036,Navy Rayon Striped Trousers,Women's Lounge wear,"17/06/22, Bottomwear, Core, JO01, JO01NAVY, Ladies Slpwear Legwr, Lot 7, Loungewear Palazzo, Loungewear Pyjama, Machine Wash, MS, Navy, Regular, Regular Fit, SS22, Striped, Trousers, WOMEN, Women's, Woven",,Blue,kg,239.0,549.0,style-union-navy-rayon-striped-trousers-jo01navy-navy
45,19566967,MFSHI00189RUST,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MFSHI00189RUST_1.jpg?v=1688649230,Men's Rust Cotton Printed Shirt,MENS WEAR,MENS SHIRTS,MENS CASUAL SHIRTS,RUST,AW23,196.0,939.0,STYLE UNION
46,17625913,6146EMERALD,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546559301_4.jpg?v=1676043846,Women's Green Rayon Printed Kurta,LADIES WEAR,LADIES ETHNICWEAR,LADIES ETHNIC TOPWEAR,EMERALD,SS23,708.0,524.0,STYLE UNION
47,17624031,6122BWHEAT,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/6122BWHEAT_4.jpg?v=1667883543,Women's Gold Poly Chinnon Solid Palazzo,LADIES WEAR,LADIES ETHNICWEAR,LADIES ETHNIC LEGWEAR,WHEAT,AW22,1323.0,742.5912084368368,womens-gold-poly-chinnon-solid-palazzo-6122bwheat
48,18555759,LD00080VIOLET,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/LD00080VIOLET_1_03ef59d8-9d57-4502-a54f-280636f09959.jpg?v=1683905053,,LADIES WEAR,LADIES WESTERNWEAR,LADIES DRESSES,Violet,SS23,1089.0,899.0,womens-violet-viscose-floral-dress-ld00080violet
49,18719945,MFL00007CAMEL,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MFL00007CAMEL_1_c549be54-0897-4cc3-9315-ed24a0411acf.jpg?v=1683903175,Men's Brown Cotton Spandex Solid Cargo,MENS WEAR,MENS LEGWEAR,MENS CASUAL LEGWEAR,Brown,SS23,1169.0,1499.0,mens-brown-cotton-spandex-solid-cargo-mfl00007camel
50,18019650,SMK254TEAL,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546641785_4.jpg?v=1693428917,,Men's Kurta,"05/12/22, AD, AW22, AW22_Lot 6, Blue, Cotton, Embroidered, Full Sleeve, Holi 2023, Mandarin Collar, Men's, Men's Kurta, Mens Long Kurta, Style Union, Woven",,Teal,kg,600.0,249.75,regular-fit-embroidered-kurta-smk254
51,17947092,3215OLIVE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546589964_4.jpg?v=1665381783,Women's Green Viscose Twill Striped Top,Women's Tops,"10/10/22, AD, AW22, Back To Work, Green, Half Sleeve, Holiday Shop, Lot 2, Striped, Style Union, Top, Vacay Ready Styles, Westernwear, Women's, Woven",,Green,kg,2.0,649.0,womens-green-viscose-twill-striped-top-3215olive
52,18900258,MFC00036NAVYBLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MFC00036NAVYBLUE_1_0b68c30c-f46a-4fb5-9eff-7595583ca69d.jpg?v=1686124416,Men's Navy Blue Poly Viscose Checkered Chinos,MENS WEAR,MENS LEGWEAR,MENS CASUAL LEGWEAR,NAVY BLUE,AW23,463.0,1227.5714285714287,mens-navy-blue-poly-viscose-checkered-chinos-mfc00036navyblue
53,17618780,SULDSH50WHITE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546578289_4.jpg?v=1676035913,Women's White Cotton Solid Shorts,Women's Shorts,"10/02/23, 281 options, 66 Cm, 99% Cotton 1% Spandex, AW22, Bottomwear, Cotton, Fashion, Hand Wash, Ladies Shorts, LOT10, Mid Rise, Nexon Omniverse limited, Regular, Regular Fit, Shorts, SK, Solid, Style Union, Vacay Ready Styles, Westernwear, White, Women",LADIES CASUAL LEGWEAR,White,kg,1054.0,919.0,womens-white-cotton-solid-shorts-suldsh50white
54,16224351,2048LIGHTBLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546283053_5.jpg?v=1658818132,,LADIES WEAR,LADIES WESTERNWEAR,LADIES T-SHIRTS,Blue,130.00,213.0,245.08294930875576,style-union-light-blue-cotton-knit-printed-t-shirt-2048lightblue-light-blue
55,17956025,FRSO13AQUA,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546389557_20-_201_912ab3e5-5c44-4806-8ddf-bac0ee0393b8.jpg?v=1660045228,Men's Blue Cotton Solid Shirts,Men's Shirt,"08/08/22, AD, Back To Work, Blue, Ethnic, Ethnicity Limited, Full Sleeve, Holiday Shop, Lot 9, Men's, Menblue, Mens Formal Shirts, Shirt Collar, Style Union, Topwear, Westernwear, Woven",,Blue,kg,242.0,902.5377721276658,mens-blue-cotton-solid-shirts-frso13aqua
56,18796009,CK00185SKYBLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/CK00185SKYBLUE_1.jpg?v=1686054589,Women's Blue Cotton Printed Kurta,LADIES WEAR,LADIES ETHNICWEAR,LADIES ETHNIC TOPWEAR,SKY BLUE,SS23,175.0,449.0,STYLE UNION
57,17966804,PJSS 09GREY,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546287259_2.jpg?v=1661424907,Grey Rayon Printed Sleepwear Sets,Women's Lounge wear,"17/06/22, Comfort Fit, Core, Grey, Hand Wash, Ladies Slpwear Sets, Lot 7, Loungewear Pyjama Set, MS, PJSS 09, PJSS09GREY, Print, Printed, Regular, Shirt Collar, Short Sleeve, Sleepwear Sets, SS22, Topwear, WOMEN, Women's, Woven",,Grey,kg,102.0,1011.5,style-union-grey-rayon-printed-sleepwear-sets-pjss09grey-grey
58,16667967,TP03 AFUCHSIA,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546370777_1.jpg?v=1658817776,,KIDS WEAR,TWEENS GIRLS WEAR,TW GIRLS T-SHIRTS,Pink,SS22,481.0,299.0,style-union-girls-fuchsia-polyester-solid-tees-tp03-afuchsia-fuchsia
59,17622008,CNCMP501ATEAL,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546586963_4.jpg?v=1693455165,Men's Teal Green Cotton Striped Polo T-Shirt,Men's T-Shirt,"13/12/22, AD, AW22, Green, Half Sleeve, Lot 7, Men's, Men's T-Shirt, Polo Neck, Striped, Style Union, Vacay Ready Styles",MENS POLO,Teal,kg,2317.0,309.5,regular-fit-striped-polo-t-shirt-cncmp501a
60,16949267,TUN01MSTONE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546388444_1.jpg?v=1658817640,,KIDS WEAR,JUNIOR GIRLS WEAR,JR GIRLS BLOUSES,Blue,SS22,846.0,599.0,style-union-girls-stone-cotton-solid-top-tun01mstone-stone
61,16564970,TGT 307LILAC,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546436503_1.jpg?v=1658817954,Tween Boy's Lilac Cotton Graphic T-Shirt,KIDS WEAR,TWEENS BOYS WEAR,TW BOYS T-SHIRTS,LILAC,SS22,630.0,211.30897160524668,style-union-lilac-cotton-graphic-t-shirt-tgt307lilac-lilac
62,18991831,TGBO00036ICE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/TGBO00036ICE_1.jpg?v=1688651163,Tween Girl's Ice Tencel Embellished Short,KIDS WEAR,TWEENS GIRLS WEAR,TW GIRLS LEGWEAR,ICE,SS23,460.0,599.0,STYLE UNION
63,18360961,MCT00023BLUEMELANGE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MCT00023BLUEMELANGE_4.jpg?v=1678950952,Men's Sky Blue Cotton Blend Solid T-Shirt,MENS WEAR,MENS T-SHIRTS,MENS T-SHIRT,BLUE MELANGE,SS23,986.0,199.0,STYLE UNION
64,18273598,TGTS00040OFFWHITE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/TGTS00040OFFWHITE_1.jpg?v=1673606530,,Girl's T-Shirts,"13/01/23, AD, Cotton, Crew Neck, Girl's T-Shirts, Graphic, Half Sleeve, Kids Graphic tees, Knit, Lot 9, Off White, SS23, Style Union, Tween Girls's",TW GIRLS T-SHIRTS,Off White,kg,350.0,199.0,tween-girlss-off-white-cotton-graphic-t-shirt-tgts00040offwhite
65,18663130,MSFT00006SHADEDSPRUCE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/MSFT00006SHADEDSPRUCE_4.jpg?v=1678968250,Men's Teal Blue Polyester Structured T-Shirt,MENS WEAR,MENS T-SHIRTS,MENS SPORTS T-SHIRTS,SHADED SPRUCE,SS23,1505.0,515.6666666666666,mens-teal-blue-polyester-structured-t-shirt-msft00006shadedspruce
66,16568101,TGT 206STRONE BLUE,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546436299_1.jpg?v=1658817966,,KIDS WEAR,TWEENS BOYS WEAR,TW BOYS T-SHIRTS,STRONE BLUE,SS22,600.0,246.7327016126976,style-union-strone-blue-cotton-graphic-t-shirt-tgt206stroneblue-strone-blue
67,18169395,TBFTS00063DEEPTEAL,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/TBFTS00063DEEPTEAL_1.jpg?v=1672315326,,Boy's T-Shirts,"29/12/22, AD, AW22, Blue, Boy's T-Shirts, Cotton, Crew Neck, Graphic, Half Sleeve, Kids Graphic tees, Knit, LOT 8, Style Union, Topwear, Tween Boy's",TW BOYS T-SHIRTS,Blue,kg,380.0,199.0,tween-boys-blue-cotton-graphic-t-shirt-tbfts00063deepteal
68,21879927,JBCTS00001CORALREEF,https://cdn.shopify.com/s/files/1/0623/4754/2777/products/8907546702493_1.jpg?v=1693378171,,Boy's T-Shirt,"AW_Lot_10, Boy's, Casual Wear, Coral Reef, Cotton, Crew Neck, JBCTS00001, Jr Boys Core T Shirts, Knit, Machine Wash, Orange, Regular Fit, revamp, Round, Solid, SS23, T-Shirt, Topwear",,Coral Reef,kg,2463.0,30.9375,boys-regular-fit-solid-t-shirt-jbcts00001
